Genre,Actor,Director,Country,Budget_MUSD,Screens,Weeks,Screen_Stability,Ticket_Price,Shows_per_Day,Revenue_MUSD,Profit_MUSD,Target,Rating
Romance,Vanessa Bayer,Wes Anderson,China,362,402,8,Drop Fast,69,14,70.37,-291.63,0,4.4
Horror,Kyle Mooney,Sylvain Chomet,United States,53,7353,7,Drop Fast,20,12,253.65,200.65,1,7.5
Animation,Aidy Bryant,François Truffaut,Canada,279,4742,3,Slow Drop,50,12,363.74,84.74,1,6.9
Sci-Fi,Angelina Jolie,Clint Eastwood,Ireland,443,8210,12,Stable,28,17,2422.23,1979.23,1,10.0
Romance,Julia Louis-Dreyfus,Rajkumar Hirani,Belgium,172,1028,5,Drop Fast,13,19,23.51,-148.49,0,4.4
Mystery,Cameron Diaz,Woody Allen,Russia,267,7370,13,Stable,78,23,3062.9,2795.9,1,10.0
Drama,James Corden,Francis Ford Coppola,Japan,137,2222,9,Stable,60,14,818.77,681.77,1,9.4
Romance,Nancy Cartwright,Fritz Lang,Australia,302,8494,4,Growing,59,17,2126.65,1824.65,1,6.7
Animation,Bill Hader,Mehboob Khan,New Zealand,348,4411,3,Slow Drop,76,15,563.31,215.31,1,5.4
Sci-Fi,John Leguizamo,Wes Anderson,Australia,180,5154,7,Drop Fast,16,21,176.67,-3.33,0,5.7
Horror,Amy Poehler,Vicky Jenson,New Zealand,395,4287,8,Stable,53,6,714.5,319.5,1,7.5
Animation,Suriya,Makoto Shinkai,China,15,8495,5,Growing,78,19,-4618.21,-4633.21,0,5.0
Animation,Matthew McConaughey,Luc Besson,Mexico,205,6985,13,Stable,37,22,-3155.69,-3360.69,0,7.1
Drama,Sterling K. Brown,Joseph L. Mankiewicz,Germany,437,9198,8,Drop Fast,50,20,-1046.82,-1483.82,0,4.3
Fantasy,Justin Timberlake,Andrew Adamson,Mexico,418,7366,5,Slow Drop,66,6,389.97,-28.03,0,4.7
Sci-Fi,Tom Kenny,Vittorio De Sica,India,301,4855,9,Slow Drop,45,6,358.34,57.34,1,7.8
Comedy,Ashutosh Rana,Don Bluth,Thailand,7,2274,7,Drop Fast,41,4,40.15,33.15,1,7.1
Animation,Kumail Nanjiani,Ash Brannon,Denmark,218,8918,5,Stable,53,1,131.05,-86.95,0,3.8
Fantasy,Antonio Banderas,Todd Phillips,Denmark,300,7118,13,Growing,39,19,-3252.5,-3552.5,0,7.6
Comedy,Ram Charan,Naoko Yamada,United States,311,3636,9,Slow Drop,23,11,326.53,15.53,1,7.8
Sci-Fi,George Takei,Satoshi Kon,Thailand,36,5248,5,Slow Drop,46,7,246.51,210.51,1,7.2
Action,Colin Jost,Hideaki Anno,South Korea,52,8689,8,Stable,8,2,59.32,7.32,1,8.8
Mystery,Paul McCartney,Mehboob Khan,South Korea,331,5072,12,Stable,64,4,721.16,390.16,1,9.0
Fantasy,Tina Fey,Pedro Almodóvar,South Korea,256,560,4,Stable,27,6,13.32,-242.68,0,3.9
Thriller,Will Arnett,Jorge R. Gutierrez,Denmark,203,4799,9,Growing,49,5,928.87,725.87,1,9.5
Action,Angelina Jolie,David Hand,Japan,408,6931,12,Stable,79,22,980.48,572.48,1,10.0
Mystery,Seth MacFarlane,Rémi Bezançon,Mexico,93,2277,6,Growing,41,21,891.79,798.79,1,6.7
Drama,Dulquer Salmaan,Tomm Moore,South Korea,113,2373,6,Drop Fast,57,9,97.99,-15.01,0,4.9
Romance,Rose Byrne,Steven Spielberg,Canada,295,4891,14,Growing,18,11,1142.87,847.87,1,10.0
Horror,Anna Kendrick,Rodney Rothman,France,112,1589,3,Stable,50,18,201.2,89.2,1,7.0
Thriller,Jim Carrey,David Fincher,India,412,8162,13,Growing,17,20,2886.99,2474.99,1,9.8
Drama,Paul McCartney,Chloe Zhao,Canada,44,6171,3,Growing,15,17,391.91,347.91,1,5.7
Sci-Fi,Chris Rock,Lee Unkrich,France,56,3714,4,Growing,79,13,951.61,895.61,1,5.7
Drama,Aidy Bryant,S.S. Rajamouli,South Korea,116,8654,1,Slow Drop,26,23,183.47,67.47,1,5.2
Romance,Aidy Bryant,Ari Aster,Spain,299,3119,6,Stable,72,17,836.4,537.4,1,6.6
Sci-Fi,Don Rickles,Todd Phillips,Germany,72,201,1,Growing,62,22,16.75,-55.25,0,3.0
Thriller,Tom Kenny,Akira Kurosawa,Canada,193,2133,11,Stable,59,10,597.9,404.9,1,8.7
Romance,Benedict Cumberbatch,Alejandro G. Iñárritu,Thailand,336,593,4,Drop Fast,10,18,7.07,-328.93,0,4.2
Comedy,Yash,George Lucas,Australia,213,8697,13,Growing,60,17,-630.59,-843.59,0,6.4
Horror,Cree Summer,Genndy Tartakovsky,India,69,729,7,Growing,51,12,243.42,174.42,1,7.8
Thriller,Sterling K. Brown,James Cameron,New Zealand,66,4823,12,Drop Fast,55,15,1001.77,935.77,1,9.6
Comedy,Jane Lynch,Pete Docter,South Korea,262,9356,6,Stable,61,19,-2985.92,-3247.92,0,4.6
Mystery,Hugo Weaving,Ava DuVernay,United Kingdom,138,9062,8,Drop Fast,23,22,789.18,651.18,1,8.2
Thriller,Lakeith Stanfield,Bob Persichetti,South Korea,126,4268,4,Drop Fast,37,15,129.95,3.95,1,6.8
